control,warm,cool
486.2581149,571.0398196,458.6750663
479.270627,473.4512442,482.4769139
495.8886469,791.2212005,367.4791133
454.7791362,387.6840347,426.1867081
428.8414088,364.6411606,408.6013342
504.3029656,520.1850804,432.9212726
554.4337122,392.9815805,458.3084232
459.9983768,437.5467994,423.6018197
409.6630834,601.7345143,355.9231965
656.2098871,527.9420286,393.6889345
480.234745,561.7209922,283.9269283
623.4019505,434.8667127,368.4605484
507.68435,462.554317,571.7084868
488.7874449,393.6379147,628.1271596
405.4561912,480.7697857,516.8312073
357.8386149,527.3909248,676.9760095
439.621257,688.3094783,583.2725636
499.9787206,676.6764256,644.7504887
487.5204186,679.8853774,633.5377811
449.7494375,185.6550687,607.9098951
516.2218511,385.2851219,446.6310821
439.5166476,171.1636088,455.2422782
488.6021376,498.1013458,594.6092015
513.3265831,483.7293393,508.7883772
471.5829791,444.0187485,549.3829519
514.0661597,506.5945401,533.6244182
468.9253272,497.4747866,573.6456182
366.0815441,267.738085,585.8911751
745.2132888,428.3727868,570.1324915
551.5595732,489.402963,674.426644
581.9487161,416.6544604,552.6214923
235.4220568,390.2822111,603.9056674
759.0952913,404.0630176,609.1414291
508.8909637,395.6362828,581.6375688
803.752459,685.0467443,621.680367
638.2019199,499.0565759,574.6663483
633.4469013,501.1407545,571.5210509
632.8189404,551.7707855,419.413687
522.8266062,,771.4346927
617.8337735,,568.8037894
567.9838404,,640.9661854
413.6392384,,597.9963853
681.1591231,,643.085643
559.9063136,,635.4518172
699.0285326,,723.9076996
525.9273878,,578.0318906
514.3231094,,
687.8635801,,
476.2405321,,
738.36069,,
480.3349271,,
334.6330796,,
634.3778659,,
480.2942976,,
710.0707724,,
510.3513308,,
579.2741191,,
705.1710938,,
603.5449237,,
497.5626373,,
284.5943899,,
722.8279321,,
634.8670179,,
484.6901961,,
781.7013044,,
455.2895108,,
