control,warm,cool
1465.744003,2327.429657,1907.967836
1711.477083,2107.656605,2037.459801
2282.458459,2490.545641,2225.410277
1906.096235,2116.613707,2261.272194
2092.97839,2141.516723,2208.182684
2524.952353,2033.484917,2260.046987
2190.078047,2031.947933,2231.712745
1899.737186,1643.618594,2051.100943
2141.746841,1702.272041,2032.983842
2206.680655,1870.715742,2015.163686
1987.329152,1973.034575,2849.229342
2261.008837,1810.407418,2847.667544
1834.889726,2118.497729,2839.968295
2053.26053,2095.625179,2531.637392
1633.628071,2533.060756,2751.452202
1808.827823,1887.358381,2440.175452
2280.551308,2129.16102,2506.934036
2181.291717,2152.02928,2366.326546
2216.537075,2333.61767,2670.93612
2221.902322,2440.336553,2399.763859
2434.287447,2176.068385,2270.286329
2147.68642,2230.374085,2306.499209
2556.183402,2040.471454,2691.538514
2265.998975,1605.163415,2496.806567
2295.604019,1730.622473,2403.580624
1874.718818,1945.93511,2311.73823
2134.059001,2169.936187,2420.486955
1900.877358,1905.548431,2042.502484
2230.173499,1804.753176,2437.132645
1761.470527,1954.050391,2478.179956
2217.246927,2419.902212,2327.553093
2062.905975,2276.383673,2201.840166
3421.87251,2243.494217,2233.735769
2289.501461,2275.006832,2237.570184
2836.491539,2774.467242,2049.30327
2668.227176,2312.048459,1976.277293
2468.449551,2066.91785,2044.50192
2826.87584,2381.557712,2266.441342
2563.941677,,2064.087114
2796.093872,,2062.550407
2497.40192,,1929.256929
2526.605795,,1789.381734
1047.591259,,2180.853466
3227.762573,,1992.233845
3083.369242,,
2538.959803,,
3126.812016,,
3060.180494,,
3215.576073,,
4015.109314,,
2487.919311,,
3207.642561,,
3258.278185,,
2696.801386,,
2827.199708,,
2182.502456,,
2652.788899,,
2460.175558,,
2099.046315,,
2595.394297,,
2215.540476,,
2165.106096,,
2131.945706,,
2236.052862,,
2347.629604,,
2055.27847,,
