control,warm,cool
0.361538462,0.697202797,1.434301521
2.144755245,0.424475524,2.125864454
0.291608392,0.088811189,0.970954357
0.228671329,0.060839161,2.284923928
0.382517483,0.934965035,1.026279391
0.284615385,0.886013986,2.381742739
0.228671329,1.879020979,1.524204703
0.767132867,0.543356643,1.821576763
0.788111888,0.31958042,1.427385892
0.312587413,0.200699301,1.302904564
0.382517483,0.207692308,2.181189488
1.424475524,0.837062937,0.196403873
0.767132867,0.990909091,1.323651452
0.291608392,0.347552448,2.706777317
0.802097902,0.823076923,0.901798064
0.473426573,0.9,2.416320885
0.739160839,0.641258741,1.053941909
0.934965035,0.697202797,1.876901798
0.557342657,0.669230769,2.326417704
0.529370629,0.074825175,2.118948824
0.732167832,1.256643357,3.744121715
0.571328671,0.627272727,3.861687414
0.130769231,1.466433566,3.737206086
0.291608392,1.256643357,3.322268326
0.200699301,0.955944056,2.478561549
1.455048409,1.347552448,2.485477178
2.195020747,0.529370629,0.977869986
2.658367911,0.424475524,2.47164592
1.233748271,0.564335664,2.57538036
3.89626556,0.38951049,2.257261411
2.132780083,0.396503497,2.326417704
1.814661134,,1.468879668
2.554633472,,1.842323651
1.455048409,,2.243430152
1.835408022,,2.478561549
3.536652835,,1.704011065
3.640387275,,1.392807746
4.020746888,,1.441217151
2.305670816,,2.762102351
2.035961272,,2.526970954
1.372060858,,2.271092669
1.510373444,,2.97648686
1.524204703,,2.125864454
1.828492393,,2.921161826
2.533886584,,2.305670816
1.980636238,,1.295988935
2.243430152,,
2.215767635,,
1.828492393,,
2.554633472,,
2.907330567,,
2.803596127,,
2.755186722,,
2.56846473,,
0.964038728,,
1.441217151,,
2.091286307,,
1.704011065,,
1.793914246,,
2.05670816,,
