control,warm,cool
0.0174,0.015,0.0318
0.0173,0.019,0.037
0.0121,0.0154,0.0394
0.0331,0.0207,0.0305
0.0191,0.0227,0.0554
0.0365,0.0338,0.0338
0.0329,0.0161,0.0294
0.0143,0.0269,0.0339
0.0302,0.0152,0.0248
0.0372,0.0339,0.0295
0.0168,0.0168,0.0234
0.0418,0.0264,0.0194
0.0314,0.025,0.0278
0.0215,0.0224,0.0209
0.0188,0.0221,0.0356
0.0229,0.024,0.0266
0.0197,0.0154,0.0333
0.0244,0.0318,0.0255
0.0288,0.0217,0.0249
0.0118,0.0239,0.0251
0.0139,0.0427,0.0339
0.0165,0.0263,0.0401
0.0276,0.033,0.0415
0.0155,0.0257,0.029
0.0108,0.0322,0.025
0.0227,0.0191,0.0262
0.017,0.0151,0.03
0.0123,0.0198,0.0278
0.0151,0.0257,0.0332
0.0147,0.0451,0.0369
0.0163,,
0.0174,,
0.0298,,
0.0215,,
0.0155,,
0.0316,,
0.0089,,
0.0402,,
0.0265,,
0.0213,,
0.0339,,
0.0305,,
0.0134,,
0.0126,,
0.0188,,
0.0158,,
0.0234,,
0.0235,,
0.006,,
0.0136,,
0.0219,,
0.0278,,
0.0338,,
0.0378,,
0.0208,,
0.0325,,
0.0178,,
0.0239,,
0.0163,,
0.0278,,
