control,warm,cool
0.00073999,0.000618574,0.000882183
0.000689615,0.00066249,0.000880871
0.000706407,0.000488117,0.000819208
0.000728365,0.000652157,0.000855943
0.000734823,0.000606949,0.000855943
0.000696073,0.000681865,0.000934663
0.000730948,0.000566908,0.000815272
0.000681865,0.000659907,0.00079428
0.00067799,0.000599199,0.000828391
0.000561741,0.0005372,0.000823144
0.000764531,0.0005062,0.000863815
0.000615991,0.000574658,0.000593545
0.000674115,0.000446784,0.000569929
0.000745156,0.000526866,0.000594857
0.000809739,0.00049845,0.0007418
0.000835572,0.000694782,0.000670953
0.000601782,0.000600491,0.000777224
0.000640532,0.000577241,0.000688008
0.000659907,0.0005217,0.000844135
0.000622449,0.000556575,0.000732616
0.000614699,0.000631491,0.000882183
0.000750323,0.000637949,0.000896615
0.000622449,0.000813614,0.00078772
0.000622449,0.000866572,0.000737864
0.000749031,0.000825239,0.000828391
0.000851072,0.000782614,0.000779848
0.000676699,0.000774864,0.000825768
0.000618574,0.000801989,0.000690632
0.000597908,0.000727073,0.00078116
0.000644407,0.00073224,0.000808712
0.000557866,0.000592741,0.000770664
0.000591449,0.000653449,0.000703752
0.000521385,0.00065474,0.000773288
0.000871687,0.000592741,0.000858567
0.000739176,0.000473909,0.000739176
0.000782472,0.000621157,0.00078116
0.000799528,0.000618574,0.000791656
0.000829703,0.000559158,0.000791656
0.000846759,,0.000628969
0.000782472,,0.000712936
0.000922855,,0.0007418
0.000909735,,0.0007418
0.00078772,,0.000707688
0.000773288,,0.000840199
0.000718184,,0.000678824
0.00078116,,0.000716872
0.000779848,,
0.000653897,,
0.000697192,,
0.000607977,,
0.000739176,,
0.00069588,,
0.000686696,,
0.000866439,,
0.000744424,,
0.000884807,,
0.000865127,,
0.000893991,,
0.000960903,,
0.000855943,,
0.000824456,,
0.000786408,,
0.000938599,,
0.000765416,,
0.000701128,,
0.000888743,,
