control,warm,cool
7.2,7,9
7.2,8.1,10.2
6.8,7.3,10.6
8.3,7.9,9.5
7.8,7.4,11.6
10.2,10.2,9.6
8.4,7.7,9.6
7.1,8.1,9.6
7.1,6.7,5.6
7.9,8.5,8.9
8,7.6,9.8
10.2,8.6,7.9
9.7,8,10
8.6,7.8,9.5
7.7,8,9.9
8.4,10.1,9.7
8,7.4,9.5
8.7,9.4,9.9
9,9.8,8.2
8.3,8,8.2
7.5,11.2,10.8
7.6,10,9.1
9.4,10.3,9.4
8.1,9.2,9.3
6.7,9.3,10.1
9.3,8.4,8.3
7.8,8.3,9.8
6.5,7.8,9.1
7.5,8.5,9
7.3,10.6,9.5
9.2,,
7.6,,
8.2,,
8.7,,
8.5,,
10.5,,
5.6,,
10.7,,
8.8,,
9.3,,
9.5,,
10.4,,
7,,
7,,
7.6,,
9.4,,
9.4,,
9,,
5.6,,
6.8,,
9.1,,
6,,
9.6,,
10.8,,
10.5,,
9.6,,
9.4,,
9.2,,
8.3,,
5.7,,
