control,warm,cool
85.54761905,103.4047619,99.35714286
103.8809524,136.7380952,100.547619
87.21428571,114.3571429,71.5
115.3095238,114.5952381,96.73809524
71.26190476,83.64285714,110.547619
67.45238095,121.9761905,111.2619048
101.5,98.4047619,100.547619
88.4047619,94.11904762,87.92857143
62.21428571,112.6904762,78.64285714
82.45238095,106.9761905,94.11904762
89.11904762,114.3571429,86.5
114.1190476,123.1666667,64.83333333
99.11904762,91.02380952,93.4047619
85.30952381,105.7857143,95.78571429
107.2142857,81.5,117.452381
110.0714286,92.92857143,123.6428571
116.5,91.26190476,112.9285714
125.0714286,107.6904762,81.97619048
119.3571429,83.4047619,101.2619048
122.2142857,110.7857143,93.16666667
90.07142857,90.54761905,110.0714286
95.30952381,77.92857143,104.5952381
95.54761905,140.0714286,142.6904762
91.97619048,107.2142857,120.0714286
119.5952381,92.69047619,110.547619
110.7857143,91.97619048,74.83333333
97.21428571,104.8333333,113.4047619
88.4047619,90.07142857,89.83333333
112.2142857,122.9285714,85.07142857
103.1666667,118.1666667,96.02380952
107.9285714,118.4047619,113.4047619
125.0714286,96.97619048,149.3571429
72.45238095,138.8809524,140.3095238
95.07142857,91.26190476,113.1666667
142.2142857,106.5,74.83333333
132.9285714,103.1666667,85.30952381
84.11904762,119.8333333,68.4047619
112.6904762,123.6428571,98.4047619
92.69047619,,94.11904762
115.7857143,,106.7380952
138.4047619,,103.1666667
92.69047619,,92.21428571
106.9761905,,90.54761905
116.9761905,,71.02380952
87.92857143,,57.69047619
95.30952381,,
55.54761905,,
58.88095238,,
70.54761905,,
58.88095238,,
76.02380952,,
52.92857143,,
75.54761905,,
50.78571429,,
106.5,,
103.4047619,,
107.6904762,,
98.16666667,,
92.92857143,,
87.69047619,,
67.69047619,,
97.69047619,,
119.8333333,,
124.3571429,,
124.5952381,,
82.45238095,,
101.9761905,,
